date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:35	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:43:33%20GMT	https://mattfarley.ca/img/logos/basin.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/basin.svg	(from https://mattfarley.ca/)
11:43:41	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:43:39%20GMT	https://mattfarley.ca/img/logos/ylbuilders.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/ylbuilders.svg	(from https://mattfarley.ca/)
11:43:42	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:43:39%20GMT	https://mattfarley.ca/img/logos/userforge.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/userforge.svg	(from https://mattfarley.ca/)
11:43:42	12770/12770	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:43:40%20GMT	https://mattfarley.ca/img/logos/dovetail.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/dovetail.svg	(from https://mattfarley.ca/)
11:43:42	6999/6999	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:43:40%20GMT	https://mattfarley.ca/startup-inquiry	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/startup-inquiry.html	(from https://mattfarley.ca/)
11:43:42	24886/24886	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:43:40%20GMT	https://mattfarley.ca/img/avatars/pascal.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/pascal.png	(from https://mattfarley.ca/)
11:43:43	125015/125015	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:43:40%20GMT	https://mattfarley.ca/img/avatars/alvin.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/alvin.png	(from https://mattfarley.ca/)
11:43:43	6967/6967	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:43:41%20GMT	https://mattfarley.ca/project-planner	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/project-planner.html	(from https://mattfarley.ca/)
11:43:51	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:43:49%20GMT	https://mattfarley.ca/img/mf-logo-white.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/mf-logo-white.svg	(from https://mattfarley.ca/)
11:43:51	7890/7890	---M--	200	added ('OK')	image/png	etag:%2261b38b88-1ed2%22	https://bulma.io/images/made-with-bulma--white.png	C:/Mes%20Sites%20Web/Portfolio/bulma.io/images/made-with-bulma--white.png	(from https://mattfarley.ca/)
